# x	y	u	v	flags	mask
6.5625e-03	7.0313e-03	1.2947e+01	2.1769e+01	1.0000e+00	0.0000e+00
6.7969e-03	7.0313e-03	1.2730e+01	2.1603e+01	0.0000e+00	0.0000e+00
7.0313e-03	7.0313e-03	1.3053e+01	2.1761e+01	0.0000e+00	0.0000e+00
7.2656e-03	7.0313e-03	1.3892e+01	2.1969e+01	0.0000e+00	0.0000e+00
2.3438e-04	6.7969e-03	3.9348e+01	2.1455e+01	0.0000e+00	0.0000e+00
4.6875e-04	6.7969e-03	3.4234e+01	2.2472e+01	0.0000e+00	0.0000e+00
7.0313e-04	6.7969e-03	3.1610e+01	2.2891e+01	0.0000e+00	0.0000e+00
9.3750e-04	6.7969e-03	3.3671e+01	2.1367e+01	0.0000e+00	0.0000e+00
1.1719e-03	6.7969e-03	3.2664e+01	2.2288e+01	1.0000e+00	0.0000e+00
1.4063e-03	6.7969e-03	3.1148e+01	2.2203e+01	0.0000e+00	0.0000e+00
1.6406e-03	6.7969e-03	3.2459e+01	2.2486e+01	0.0000e+00	0.0000e+00
1.8750e-03	6.7969e-03	3.1968e+01	2.1935e+01	0.0000e+00	0.0000e+00
2.1094e-03	6.7969e-03	3.2281e+01	2.2082e+01	1.0000e+00	0.0000e+00
2.3438e-03	6.7969e-03	3.4819e+01	2.2467e+01	0.0000e+00	0.0000e+00
2.5781e-03	6.7969e-03	3.0897e+01	2.2347e+01	0.0000e+00	0.0000e+00
2.8125e-03	6.7969e-03	2.8351e+01	2.2351e+01	0.0000e+00	0.0000e+00
3.0469e-03	6.7969e-03	2.3122e+01	2.2334e+01	0.0000e+00	0.0000e+00
3.2813e-03	6.7969e-03	1.5911e+01	2.2598e+01	0.0000e+00	0.0000e+00
3.5156e-03	6.7969e-03	1.6961e+01	2.1955e+01	1.0000e+00	0.0000e+00
3.7500e-03	6.7969e-03	1.4902e+01	2.1841e+01	1.0000e+00	0.0000e+00
3.9844e-03	6.7969e-03	1.3545e+01	2.1518e+01	0.0000e+00	0.0000e+00
4.2188e-03	6.7969e-03	1.3713e+01	2.1729e+01	0.0000e+00	0.0000e+00
4.4531e-03	6.7969e-03	1.3713e+01	2.1785e+01	1.0000e+00	0.0000e+00
4.6875e-03	6.7969e-03	1.3707e+01	2.1795e+01	0.0000e+00	0.0000e+00
4.9219e-03	6.7969e-03	1.3522e+01	2.1746e+01	0.0000e+00	0.0000e+00
5.1563e-03	6.7969e-03	1.3604e+01	2.1783e+01	0.0000e+00	0.0000e+00
5.3906e-03	6.7969e-03	1.3486e+01	2.1712e+01	0.0000e+00	0.0000e+00
