# x	y	u	v	flags	mask
6.5625e-03	7.0313e-03	1.4896e+01	2.1612e+01	1.0000e+00	0.0000e+00
6.7969e-03	7.0313e-03	1.4882e+01	2.1640e+01	0.0000e+00	0.0000e+00
7.0313e-03	7.0313e-03	1.5008e+01	2.1664e+01	0.0000e+00	0.0000e+00
7.2656e-03	7.0313e-03	1.4894e+01	2.1588e+01	0.0000e+00	0.0000e+00
2.3438e-04	6.7969e-03	4.5282e+01	2.1960e+01	0.0000e+00	0.0000e+00
4.6875e-04	6.7969e-03	4.4710e+01	2.1817e+01	1.0000e+00	0.0000e+00
7.0313e-04	6.7969e-03	4.4659e+01	2.1775e+01	1.0000e+00	0.0000e+00
9.3750e-04	6.7969e-03	4.4555e+01	2.1697e+01	1.0000e+00	0.0000e+00
1.1719e-03	6.7969e-03	4.4443e+01	2.1486e+01	0.0000e+00	0.0000e+00
1.4063e-03	6.7969e-03	4.4480e+01	2.1525e+01	0.0000e+00	0.0000e+00
1.6406e-03	6.7969e-03	4.4415e+01	2.1541e+01	1.0000e+00	0.0000e+00
1.8750e-03	6.7969e-03	4.4492e+01	2.1453e+01	0.0000e+00	0.0000e+00
2.1094e-03	6.7969e-03	4.3867e+01	2.1530e+01	1.0000e+00	0.0000e+00
2.3438e-03	6.7969e-03	4.3527e+01	2.1474e+01	0.0000e+00	0.0000e+00
2.5781e-03	6.7969e-03	4.4106e+01	2.1759e+01	0.0000e+00	0.0000e+00
2.8125e-03	6.7969e-03	3.6172e+01	2.1843e+01	1.0000e+00	0.0000e+00
3.0469e-03	6.7969e-03	3.1140e+01	2.1990e+01	1.0000e+00	0.0000e+00
3.2813e-03	6.7969e-03	2.5704e+01	2.2066e+01	1.0000e+00	0.0000e+00
3.5156e-03	6.7969e-03	2.0667e+01	2.2111e+01	1.0000e+00	0.0000e+00
3.7500e-03	6.7969e-03	1.5199e+01	2.2045e+01	0.0000e+00	0.0000e+00
3.9844e-03	6.7969e-03	1.5730e+01	2.1856e+01	1.0000e+00	0.0000e+00
4.2188e-03	6.7969e-03	1.4903e+01	2.1741e+01	1.0000e+00	0.0000e+00
4.4531e-03	6.7969e-03	1.4663e+01	2.1570e+01	0.0000e+00	0.0000e+00
