# x	y	u	v	flags	mask
2.3438e-04	7.2656e-03	4.4223e+01	2.1753e+01	0.0000e+00	0.0000e+00
4.6875e-04	7.2656e-03	4.4341e+01	2.1535e+01	0.0000e+00	0.0000e+00
7.0313e-04	7.2656e-03	4.4360e+01	2.1585e+01	0.0000e+00	0.0000e+00
9.3750e-04	7.2656e-03	4.4482e+01	2.1947e+01	0.0000e+00	0.0000e+00
1.1719e-03	7.2656e-03	4.4408e+01	2.1613e+01	1.0000e+00	0.0000e+00
1.4063e-03	7.2656e-03	4.4373e+01	2.1655e+01	1.0000e+00	0.0000e+00
1.6406e-03	7.2656e-03	4.4228e+01	2.1503e+01	0.0000e+00	0.0000e+00
1.8750e-03	7.2656e-03	4.4079e+01	2.1754e+01	1.0000e+00	0.0000e+00
2.1094e-03	7.2656e-03	4.3804e+01	2.2020e+01	0.0000e+00	0.0000e+00
2.3438e-03	7.2656e-03	4.2765e+01	2.2041e+01	1.0000e+00	0.0000e+00
2.5781e-03	7.2656e-03	4.2280e+01	2.2519e+01	0.0000e+00	0.0000e+00
2.8125e-03	7.2656e-03	4.2443e+01	2.3275e+01	0.0000e+00	0.0000e+00
3.0469e-03	7.2656e-03	3.3908e+01	2.3802e+01	0.0000e+00	0.0000e+00
3.2813e-03	7.2656e-03	1.8087e+01	2.2768e+01	0.0000e+00	0.0000e+00
3.5156e-03	7.2656e-03	2.0277e+01	2.1946e+01	1.0000e+00	0.0000e+00
3.7500e-03	7.2656e-03	1.3700e+01	2.0559e+01	0.0000e+00	0.0000e+00
3.9844e-03	7.2656e-03	1.5767e+01	2.2226e+01	0.0000e+00	0.0000e+00
4.2188e-03	7.2656e-03	1.4943e+01	2.1557e+01	1.0000e+00	0.0000e+00
4.4531e-03	7.2656e-03	1.4895e+01	2.1753e+01	0.0000e+00	0.0000e+00
4.6875e-03	7.2656e-03	1.4675e+01	2.1559e+01	0.0000e+00	0.0000e+00
4.9219e-03	7.2656e-03	1.4805e+01	2.1783e+01	0.0000e+00	0.0000e+00
5.1563e-03	7.2656e-03	1.4763e+01	2.1612e+01	1.0000e+00	0.0000e+00
5.3906e-03	7.2656e-03	1.4751e+01	2.1649e+01	1.0000e+00	0.0000e+00
5.6250e-03	7.2656e-03	1.4797e+01	2.2036e+01	0.0000e+00	0.0000e+00
5.8594e-03	7.2656e-03	1.4741e+01	2.1952e+01	0.0000e+00	0.0000e+00
6.0938e-03	7.2656e-03	1.4744e+01	2.1703e+01	1.0000e+00	0.0000e+00
6.3281e-03	7.2656e-03	1.4796e+01	2.1659e+01	0.0000e+00	0.0000e+00
6.5625e-03	7.2656e-03	1.4813e+01	2.1798e+01	0.0000e+00	0.0000e+00
6.7969e-03	7.2656e-03	1.4891e+01	2.1838e+01	0.0000e+00	0.0000e+00
7.0313e-03	7.2656e-03	1.4797e+01	2.1701e+01	1.0000e+00	0.0000e+00
7.2656e-03	7.2656e-03	1.4797e+01	2.1704e+01	1.0000e+00	0.0000e+00
2.3438e-04	7.0313e-03	4.4417e+01	2.1544e+01	1.0000e+00	0.0000e+00
4.6875e-04	7.0313e-03	4.4424e+01	2.1573e+01	1.0000e+00	0.0000e+00
